Date,Open,High,Low,Close,Adj Close,Volume
2022-08-01,123.0199966430664,123.0199966430664,115.63999938964844,116.52999877929688,116.52999877929688,1448100
2022-08-02,115.97000122070312,118.37999725341797,114.87000274658203,117.63999938964844,117.63999938964844,866400
2022-08-03,117.87999725341797,118.3499984741211,116.7699966430664,117.8499984741211,117.8499984741211,632400
2022-08-04,117.51000213623047,119.30999755859375,117.13999938964844,119.08999633789062,119.08999633789062,540100
2022-08-05,119.69999694824219,120.91000366210938,118.68000030517578,120.4800033569336,120.4800033569336,444700
2022-08-08,121.3499984741211,121.3499984741211,118.66000366210938,118.80999755859375,118.80999755859375,384400
2022-08-09,118.80000305175781,119.41000366210938,118.33000183105469,118.75,118.75,372900
2022-08-10,118.61000061035156,119.20999908447266,117.7699966430664,118.45999908447266,118.45999908447266,628900
2022-08-11,118.45999908447266,119.83999633789062,117.37999725341797,117.5,117.5,486800
2022-08-12,118.0,119.75,116.93000030517578,119.63999938964844,119.63999938964844,562100
2022-08-15,118.06999969482422,120.9000015258789,118.06999969482422,119.3499984741211,119.3499984741211,437100
2022-08-16,118.80999755859375,120.29000091552734,118.80999755859375,119.91999816894531,119.91999816894531,507700
2022-08-17,119.62000274658203,123.56999969482422,119.62000274658203,123.55999755859375,123.55999755859375,594300
2022-08-18,124.05000305175781,126.61000061035156,123.98999786376953,126.31999969482422,126.31999969482422,742200
2022-08-19,126.55999755859375,126.55999755859375,123.0199966430664,123.77999877929688,123.77999877929688,2295300
2022-08-22,122.80999755859375,126.01000213623047,122.61000061035156,123.43000030517578,123.43000030517578,538100
2022-08-23,123.5,125.0,121.37000274658203,121.95999908447266,121.95999908447266,361700
2022-08-24,121.62999725341797,123.5999984741211,121.62999725341797,122.48999786376953,122.48999786376953,527700
2022-08-25,122.5,123.44999694824219,122.08999633789062,123.29000091552734,123.29000091552734,245700
2022-08-26,123.83999633789062,124.2300033569336,119.9800033569336,120.3499984741211,120.3499984741211,477500
2022-08-29,120.0199966430664,121.05000305175781,119.38999938964844,120.33000183105469,120.33000183105469,383500
2022-08-30,119.83000183105469,120.31999969482422,117.77999877929688,117.77999877929688,117.77999877929688,825400
2022-08-31,119.08999633789062,120.0999984741211,117.83999633789062,117.97000122070312,117.97000122070312,702300
2022-09-01,117.80000305175781,121.33000183105469,117.19999694824219,121.2300033569336,121.2300033569336,613800
2022-09-02,121.58000183105469,122.62999725341797,119.66999816894531,119.80999755859375,119.80999755859375,566300
2022-09-06,123.4000015258789,123.4000015258789,120.41000366210938,121.48999786376953,121.48999786376953,374400
2022-09-07,120.70999908447266,124.69999694824219,120.54000091552734,123.69000244140625,123.69000244140625,512600
2022-09-08,123.7699966430664,124.70999908447266,122.2300033569336,124.11000061035156,124.11000061035156,485100
2022-09-09,123.91000366210938,124.2699966430664,123.30000305175781,123.97000122070312,123.97000122070312,352600
2022-09-12,123.83999633789062,124.9800033569336,123.58000183105469,123.7300033569336,123.7300033569336,376900
2022-09-13,123.06999969482422,123.55000305175781,120.79000091552734,120.93000030517578,120.93000030517578,650400
2022-09-14,121.25,121.73999786376953,120.44999694824219,121.41999816894531,121.41999816894531,719700
2022-09-15,124.70999908447266,124.70999908447266,118.87000274658203,119.13999938964844,119.13999938964844,727500
2022-09-16,119.01000213623047,121.13999938964844,117.79000091552734,120.55000305175781,120.55000305175781,1136000
2022-09-19,120.22000122070312,121.12999725341797,118.75,120.63999938964844,120.63999938964844,448700
2022-09-20,120.23999786376953,120.29000091552734,118.12999725341797,119.44000244140625,119.44000244140625,388400
2022-09-21,119.16000366210938,121.55000305175781,118.02999877929688,118.06999969482422,118.06999969482422,412600
2022-09-22,118.0,118.55999755859375,116.48999786376953,117.62000274658203,117.62000274658203,340100
2022-09-23,117.80999755859375,118.05000305175781,115.1500015258789,116.12999725341797,116.12999725341797,504900
2022-09-26,115.8499984741211,117.66000366210938,115.38999938964844,116.41000366210938,116.41000366210938,489900
2022-09-27,117.4800033569336,119.66999816894531,115.55999755859375,116.97000122070312,116.97000122070312,517500
2022-09-28,117.25,119.0,116.7699966430664,118.36000061035156,118.36000061035156,540900
2022-09-29,118.38999938964844,118.58999633789062,116.80999755859375,117.7300033569336,117.7300033569336,532500
2022-09-30,118.66000366210938,119.54000091552734,117.18000030517578,117.37000274658203,117.37000274658203,834300
2022-10-03,117.11000061035156,118.9800033569336,116.38999938964844,118.12999725341797,118.12999725341797,711100
2022-10-04,118.76000213623047,120.23999786376953,118.37000274658203,119.97000122070312,119.97000122070312,742600
2022-10-05,120.02999877929688,120.63999938964844,118.48999786376953,119.7699966430664,119.7699966430664,595700
2022-10-06,119.45999908447266,121.7699966430664,118.58000183105469,121.68000030517578,121.68000030517578,707200
2022-10-07,121.75,121.94000244140625,118.20999908447266,118.94000244140625,118.94000244140625,661800
2022-10-10,119.06999969482422,120.0999984741211,118.62999725341797,118.70999908447266,118.70999908447266,417600
2022-10-11,118.69999694824219,119.91000366210938,116.54000091552734,118.05999755859375,118.05999755859375,540000
2022-10-12,118.05999755859375,118.9800033569336,116.79000091552734,118.13999938964844,118.13999938964844,549300
2022-10-13,117.38999938964844,120.69999694824219,115.36000061035156,120.06999969482422,120.06999969482422,657100
2022-10-14,121.16000366210938,121.16000366210938,115.76000213623047,116.11000061035156,116.11000061035156,710600
2022-10-17,116.6500015258789,120.38999938964844,116.6500015258789,120.1500015258789,120.1500015258789,760100
2022-10-18,122.05000305175781,122.87000274658203,120.70999908447266,121.98999786376953,121.98999786376953,779600
2022-10-19,121.5,122.37000274658203,119.41000366210938,119.75,119.75,535600
2022-10-20,120.1500015258789,121.19999694824219,118.37999725341797,118.9800033569336,118.9800033569336,422500
2022-10-21,120.20999908447266,120.3499984741211,118.54000091552734,119.87000274658203,119.87000274658203,482300
2022-10-24,120.13999938964844,122.36000061035156,120.13999938964844,122.08999633789062,122.08999633789062,480300
2022-10-25,122.7300033569336,124.44000244140625,121.69999694824219,124.41000366210938,124.41000366210938,744900
2022-10-26,125.11000061035156,125.51000213623047,123.12000274658203,123.95999908447266,123.95999908447266,654000
2022-10-27,125.30999755859375,125.37000274658203,123.76000213623047,123.94999694824219,123.94999694824219,599100
2022-10-28,123.7699966430664,125.68000030517578,123.6500015258789,125.44999694824219,125.44999694824219,675500
2022-10-31,125.4000015258789,125.88999938964844,124.29000091552734,124.5,124.5,1084500
2022-11-01,124.5199966430664,127.52999877929688,124.5199966430664,127.36000061035156,127.36000061035156,897600
2022-11-02,127.66999816894531,128.74000549316406,125.6500015258789,126.0999984741211,126.0999984741211,896300
2022-11-03,124.22000122070312,126.66999816894531,124.22000122070312,124.9000015258789,124.9000015258789,765400
