Date,Open,High,Low,Close,Adj Close,Volume
2022-08-01,300.0,306.3500061035156,298.94000244140625,303.7900085449219,302.40069580078125,874300
2022-08-02,303.2300109863281,303.2300109863281,293.8800048828125,294.1600036621094,292.814697265625,1131700
2022-08-03,295.9800109863281,297.4800109863281,292.0899963378906,295.70001220703125,294.3476867675781,727500
2022-08-04,295.7699890136719,299.2099914550781,293.260009765625,299.0799865722656,297.7121887207031,529900
2022-08-05,294.7300109863281,303.3399963378906,294.2799987792969,303.1700134277344,301.78350830078125,651500
2022-08-08,304.3299865722656,309.80999755859375,303.1499938964844,306.9100036621094,305.50640869140625,752400
2022-08-09,305.510009765625,307.4800109863281,299.2799987792969,301.9200134277344,300.5392150878906,868900
2022-08-10,309.17999267578125,317.1300048828125,306.6700134277344,315.3800048828125,313.9376525878906,889800
2022-08-11,317.45001220703125,323.7200012207031,314.7799987792969,315.3900146484375,313.9476318359375,852100
2022-08-12,317.1600036621094,319.0,311.6199951171875,314.30999755859375,312.87255859375,724000
2022-08-15,314.32000732421875,316.20001220703125,309.30999755859375,312.2900085449219,310.86181640625,695200
2022-08-16,311.29998779296875,313.489990234375,308.30999755859375,310.07000732421875,308.6519775390625,519800
2022-08-17,304.6499938964844,305.8500061035156,296.3999938964844,303.2200012207031,301.833251953125,951200
2022-08-18,302.6600036621094,306.8299865722656,302.1099853515625,303.30999755859375,301.9228820800781,509500
2022-08-19,300.0199890136719,300.5400085449219,295.05999755859375,297.0400085449219,295.68157958984375,668500
2022-08-22,292.5400085449219,294.9599914550781,289.94000244140625,291.9100036621094,290.57501220703125,801800
2022-08-23,291.54998779296875,294.55999755859375,290.1700134277344,291.95001220703125,290.61480712890625,478800
2022-08-24,293.3299865722656,294.9599914550781,290.489990234375,291.3699951171875,290.0374755859375,586800
2022-08-25,293.95001220703125,300.9800109863281,291.6099853515625,300.9100036621094,299.53387451171875,610700
2022-08-26,299.0400085449219,302.6600036621094,285.1600036621094,285.6499938964844,284.3436279296875,818700
